,date_range,state,covid_conspiracy,covid_hoax,pizzagate,plandemic,wuhan_lab
284,2020-08-01 2020-08-31,New Hampshire,0.0,50.0,46.0,48.0,0.0
285,2020-08-01 2020-08-31,New Jersey,9.0,10.0,36.0,35.0,22.0
286,2020-08-01 2020-08-31,New Mexico,24.0,0.0,57.0,17.0,0.0
287,2020-08-01 2020-08-31,New York,10.0,7.0,35.0,27.0,16.0
288,2020-08-01 2020-08-31,North Carolina,12.0,12.0,50.0,28.0,39.0
289,2020-08-01 2020-08-31,North Dakota,0.0,0.0,85.0,0.0,0.0
290,2020-08-01 2020-08-31,Ohio,16.0,15.0,64.0,17.0,13.0
291,2020-08-01 2020-08-31,Oklahoma,30.0,34.0,73.0,0.0,0.0
292,2020-08-01 2020-08-31,Oregon,44.0,25.0,58.0,31.0,18.0
293,2020-08-01 2020-08-31,Pennsylvania,18.0,24.0,53.0,38.0,41.0
294,2020-08-01 2020-08-31,Rhode Island,39.0,0.0,24.0,0.0,64.0
295,2020-08-01 2020-08-31,South Carolina,20.0,15.0,56.0,7.0,100.0
296,2020-08-01 2020-08-31,South Dakota,0.0,100.0,100.0,47.0,0.0
297,2020-08-01 2020-08-31,Tennessee,35.0,26.0,55.0,10.0,11.0
298,2020-08-01 2020-08-31,Texas,22.0,9.0,51.0,33.0,24.0
299,2020-08-01 2020-08-31,Utah,29.0,0.0,73.0,41.0,24.0
300,2020-08-01 2020-08-31,Vermont,0.0,0.0,10.0,55.0,0.0
301,2020-08-01 2020-08-31,Virginia,10.0,14.0,45.0,17.0,39.0
302,2020-08-01 2020-08-31,Washington,24.0,13.0,55.0,63.0,19.0
303,2020-08-01 2020-08-31,West Virginia,0.0,0.0,92.0,26.0,0.0
304,2020-08-01 2020-08-31,Wisconsin,50.0,44.0,54.0,42.0,27.0
305,2020-08-01 2020-08-31,Wyoming,0.0,0.0,50.0,0.0,0.0
306,2020-09-01 2020-09-30,Alabama,16.0,30.0,42.0,0.0,16.0
307,2020-09-01 2020-09-30,Alaska,0.0,0.0,0.0,76.0,0.0
308,2020-09-01 2020-09-30,Arizona,37.0,54.0,60.0,11.0,19.0
309,2020-09-01 2020-09-30,Arkansas,0.0,0.0,58.0,0.0,0.0
310,2020-09-01 2020-09-30,California,18.0,24.0,50.0,25.0,10.0
311,2020-09-01 2020-09-30,Colorado,72.0,49.0,28.0,19.0,0.0
312,2020-09-01 2020-09-30,Connecticut,32.0,0.0,43.0,29.0,8.0
313,2020-09-01 2020-09-30,Delaware,69.0,0.0,37.0,42.0,0.0
314,2020-09-01 2020-09-30,District of Columbia,0.0,0.0,38.0,0.0,0.0
315,2020-09-01 2020-09-30,Florida,9.0,26.0,42.0,24.0,9.0
316,2020-09-01 2020-09-30,Georgia,5.0,25.0,42.0,3.0,5.0
317,2020-09-01 2020-09-30,Hawaii,0.0,0.0,27.0,93.0,25.0
318,2020-09-01 2020-09-30,Idaho,0.0,42.0,0.0,80.0,22.0
319,2020-09-01 2020-09-30,Illinois,23.0,31.0,57.0,11.0,9.0
320,2020-09-01 2020-09-30,Indiana,22.0,74.0,48.0,20.0,17.0
321,2020-09-01 2020-09-30,Iowa,23.0,67.0,25.0,0.0,12.0
322,2020-09-01 2020-09-30,Kansas,0.0,26.0,29.0,50.0,0.0
323,2020-09-01 2020-09-30,Kentucky,34.0,16.0,27.0,10.0,17.0
324,2020-09-01 2020-09-30,Louisiana,52.0,33.0,56.0,21.0,26.0
325,2020-09-01 2020-09-30,Maine,0.0,0.0,27.0,92.0,25.0
326,2020-09-01 2020-09-30,Maryland,10.0,27.0,46.0,23.0,19.0
327,2020-09-01 2020-09-30,Massachusetts,17.0,8.0,53.0,10.0,8.0
328,2020-09-01 2020-09-30,Michigan,13.0,39.0,91.0,12.0,7.0
329,2020-09-01 2020-09-30,Minnesota,23.0,33.0,38.0,7.0,12.0
330,2020-09-01 2020-09-30,Mississippi,0.0,0.0,50.0,19.0,15.0
331,2020-09-01 2020-09-30,Missouri,23.0,11.0,43.0,0.0,17.0
