,RegionCode,Jurisdiction,Date,C1_School closing,C1_Flag,C2_Workplace closing,C2_Flag,C3_Cancel public events,C3_Flag,C4_Restrictions on gatherings,C4_Flag,C5_Close public transport,C5_Flag,C6_Stay at home requirements,C6_Flag,C7_Restrictions on internal movement,C7_Flag,C8_International travel controls,ConfirmedCases,ConfirmedDeaths,StringencyIndex,GovernmentResponseIndex,ContainmentHealthIndex,state
2820,US_CO,STATE_WIDE,20201126,2.0,0.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,,0.0,216683.0,2957.0,43.52,50.56,48.72,Colorado
2821,US_CO,STATE_WIDE,20201127,2.0,0.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,,0.0,220953.0,2977.0,43.52,50.56,48.72,Colorado
2822,US_CO,STATE_WIDE,20201128,2.0,0.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,,0.0,225283.0,2983.0,43.52,50.56,48.72,Colorado
2823,US_CO,STATE_WIDE,20201129,2.0,0.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,,0.0,228772.0,3003.0,43.52,50.56,48.72,Colorado
2824,US_CO,STATE_WIDE,20201130,2.0,0.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,,0.0,232905.0,3037.0,43.52,50.56,48.72,Colorado
2825,US_CO,STATE_WIDE,20201201,2.0,0.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,,0.0,237310.0,3109.0,43.52,50.56,48.72,Colorado
2826,US_CO,STATE_WIDE,20201202,2.0,0.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,,0.0,241172.0,3193.0,43.52,50.56,48.72,Colorado
2827,US_CO,STATE_WIDE,20201203,2.0,0.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,,0.0,247209.0,3320.0,43.52,50.56,48.72,Colorado
2828,US_CO,STATE_WIDE,20201204,2.0,0.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,,0.0,252222.0,3338.0,43.52,50.56,48.72,Colorado
2829,US_CO,STATE_WIDE,20201205,2.0,0.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,,0.0,257347.0,3357.0,43.52,50.56,48.72,Colorado
2830,US_CO,STATE_WIDE,20201206,2.0,0.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,,0.0,260581.0,3356.0,43.52,50.56,48.72,Colorado
2831,US_CO,STATE_WIDE,20201207,2.0,0.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,,0.0,264618.0,3358.0,43.52,50.56,48.72,Colorado
2832,US_CO,STATE_WIDE,20201208,2.0,0.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,,0.0,268589.0,3372.0,43.52,50.56,48.72,Colorado
2833,US_CO,STATE_WIDE,20201209,2.0,0.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,,0.0,272346.0,3639.0,43.52,50.56,48.72,Colorado
2834,US_CO,STATE_WIDE,20201210,2.0,0.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,,0.0,276995.0,3759.0,43.52,50.56,48.72,Colorado
2835,US_CO,STATE_WIDE,20201211,2.0,0.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,,0.0,281673.0,3846.0,43.52,50.56,48.72,Colorado
2836,US_CO,STATE_WIDE,20201212,2.0,0.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,,0.0,285634.0,3871.0,43.52,50.56,48.72,Colorado
